area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1000,0,10,50,0,2024,2,,162895,2101628,2108560,2111095,31499391135,2457068038,14027705,1150,,1,1,1,1,1,1,1,1,,6771,4.3,35057,1.7,36771,1.8,25911,1.2,1644163023,5.5,-88295388,-3.5,-4690966,-25.1,43,3.9
1000,1,10,51,0,2024,2,,1265,58002,57966,58197,1443122769,0,0,1912,,1.55,1.43,1.43,1.43,1.72,0,0,1.21,,0,0,1502,2.7,1366,2.4,1312,2.3,77076257,5.6,0,0,0,0,57,3.1
1000,2,10,51,0,2024,2,,1436,107038,106855,105440,1760693480,85315,170,1272,,1.49,1.63,1.63,1.63,1.65,0,0.01,1.01,,-6,-0.4,8997,9.2,8588,8.7,8330,8.6,155384059,9.7,36529,74.9,72,73.5,9,0.7
1000,3,10,51,0,2024,2,,3797,225138,226436,227786,3039802108,17292941,55842,1033,,1.65,1.11,1.11,1.15,1.09,0.4,0.7,0.97,,52,1.4,5948,2.7,6773,3.1,5557,2.5,186075410,6.5,132325,0.8,-13609,-19.6,37,3.7
1000,5,10,51,0,2024,2,,156397,1711450,1717303,1719672,25255772778,2439689782,13971693,1132,,0.98,0.95,0.95,0.95,0.94,1.02,1,0.99,,6725,4.5,18610,1.1,20044,1.2,10712,0.6,1225627297,5.1,-88464242,-3.5,-4677429,-25.1,44,4
1000,8,10,96,0,2024,2,,6498,390178,391257,391423,6243618357,17378256,56012,1228,,1.59,1.26,1.26,1.29,1.33,0.29,0.58,1.04,,46,0.7,16447,4.4,16727,4.5,15199,4,418535726,7.2,168854,1,-13537,-19.5,33,2.8
1001,0,10,70,0,2024,2,,1138,12275,12398,12462,155826514,13615620,71341,968,,1,1,1,1,1,1,1,1,,77,7.3,481,4.1,513,4.3,512,4.3,10793281,7.4,-842617,-5.8,-45351,-38.9,29,3.1
1001,1,10,71,0,2024,2,,11,101,97,92,1529019,0,0,1217,,1.93,0.43,0.41,0.38,0.37,0,0,0.91,,1,10,15,17.4,-4,-4,-12,-11.5,81317,5.6,0,0,0,0,69,6
1001,2,10,71,0,2024,2,,20,646,649,654,8905697,0,0,1054,,2.97,1.68,1.69,1.71,1.68,0,0,0.99,,0,0,74,12.9,79,13.9,90,16,-338692,-3.7,0,0,0,0,-196,-15.7
1001,3,10,71,0,2024,2,,32,1907,1943,1931,24160184,10404,21,964,,1.99,1.61,1.63,1.65,1.75,0.04,0.05,1.07,,0,0,35,1.9,68,3.6,51,2.7,401383,1.7,4063,64.1,8,61.5,-10,-1
